adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating_cost,sold_price,living_to_land_ratio,area_per_room
"Margretedalsvägen 8, None, Härryda",57.69036620000001,12.2741791,60.0,1057.0,20.0,0,0,3.0,1955,5600,1900000,0.05676442762535478,20.0
"Fjärdingsmannavägen 14, Vingåker, Vingåkers",59.05973822415137,15.87152745648214,120.0,1134.0,55.0,1,1,4.0,1950,30834,825000,0.10582010582010581,30.0
"Possebergsvägen 12, Posseberg, Kristinehamns",59.23875926123636,14.081548951014597,80.0,2560.0,0.0,0,0,6.0,1942,24163,4000000,0.03125,13.333333333333334
"Ängserydsgatan 36, Mossen, Motala",58.53530035385623,15.02023546609308,126.0,911.0,102.0,1,1,4.0,1947,46238,2450000,0.13830954994511527,31.5
"Morrarö 8, Strängnäs, Strängnäs",59.43934635963224,17.047135787699776,136.0,2072.0,0.0,1,0,5.0,1979,42349,1800000,0.06563706563706563,27.2
"Videvägen 18, Ersholen, Gagnefs",60.49232849408602,14.957478912800845,150.0,2776.0,15.0,0,0,6.0,1922,25635,1995000,0.05403458213256484,25.0
"Riddarbacken 3, Kävlinge, Kävlinge",55.79593,13.090332,121.0,806.0,0.0,0,0,5.0,1997,45164,4200000,0.1501240694789082,24.2
"Trallbanevägen 20, Landvetter, Härryda",57.69747,12.2015295,124.0,382.0,8.0,0,0,5.0,2004,34205,6300000,0.32460732984293195,24.8
"Estlandsgatan 128, Enskedefältet - Enskede, Stockholms",59.285056827444194,18.0637731944772,88.0,443.0,56.0,0,0,4.0,1931,42000,6000000,0.1986455981941309,22.0
"Adler Salvius väg 109, Tullinge, Botkyrka",59.21602259261904,17.891617991325443,117.0,628.0,47.0,1,0,5.0,1977,50500,4200000,0.18630573248407642,23.4
"Lidgatan 11, Mösseberg, Falköpings",58.1804785824137,13.5463751651195,116.0,587.0,18.0,0,0,5.0,1909,34775,2575000,0.19761499148211242,23.2
"Andgränd 16, Svaneholm, Borås",57.604382139472,12.792331837963,147.0,1151.0,0.0,0,0,5.0,1980,47180,720000,0.12771503040834056,29.4
"Nygatan 18, Vinslöv, Hässleholms",56.09802,13.914834,94.0,1383.0,81.0,0,0,4.0,1930,46197,1750000,0.06796818510484454,23.5
"Vårflodsgatan 15, Centrala Hisingen - Kyrkbyn, Göteborgs",57.709362,11.9031315,114.0,650.0,66.0,0,0,6.0,1928,31371,5730000,0.1753846153846154,19.0
"Kullaviksvägen 10, Kullavik, Kungsbacka",57.5476456,11.9621048,119.0,1376.0,174.0,0,0,7.0,1880,47766,8000000,0.08648255813953488,17.0
"Öjersjövägen 8C, Öjersjö, Partille",57.7056122,12.147542,164.0,851.0,28.0,0,0,8.0,1990,34740,6700000,0.1927144535840188,20.5
"Tullebo ekväg 5, Bollebygd, Bollebygds",57.7108470524502,12.4845912540622,105.0,2315.0,60.0,0,0,5.0,1924,49201,3360000,0.04535637149028078,21.0
"Färjevägen 11, None, Ånge",62.5162926,15.66351,138.0,1382.0,82.0,0,0,6.0,1951,47268,1850000,0.09985528219971057,23.0
"Furulundsgatan 24, None, Gotlands",57.6225166,18.30281,136.0,1042.0,86.0,0,0,6.0,1945,46458,3925000,0.13051823416506717,22.666666666666668
"Oxdrivarvägen 8, Tvärskog, Kalmar",56.6250343,16.0365753,143.0,845.0,0.0,0,0,4.0,2022,35500,2590000,0.16923076923076924,35.75
"Egernahults stugområde 20, None, Laholms",56.6000023,13.3616285,50.0,1603.0,18.0,0,0,3.0,1976,17464,750000,0.031191515907673113,16.666666666666668
"Nytorpsvägen 5, Älvängen, Ale",57.9544404069,12.1266513309,110.0,1481.0,65.0,0,0,8.0,1948,45763,4450000,0.07427413909520594,13.75
"Bräknevägen 55A, Bräkne-hoby, Ronneby",56.2351663499,15.1158263229,100.0,1002.0,95.0,0,0,5.0,1968,35736,900000,0.0998003992015968,20.0
"Ljungstigen 7, None, Tingsryds",56.5266075,14.990612,145.0,1120.0,0.0,0,0,4.0,1986,36058,2000000,0.12946428571428573,36.25
"Svenningstorp 1, Töreboda Landsbygd, Töreboda",58.7422353004,14.1229364988,71.0,1591.0,69.0,0,0,3.0,1950,45800,500000,0.044626021370207415,23.666666666666668
"Bergsåsarna 4, None, Forshaga",59.5842910978,13.5412921106,84.0,30480.0,0.0,0,0,3.0,1938,7954,1400000,0.0027559055118110236,28.0
"Toretorpsvägen 1, Gästrike Hammarby, Sandvikens",60.5425283238,16.5608910479,145.0,9350.0,28.0,0,0,5.0,1918,49850,2995000,0.015508021390374332,29.0
"Stenåldersvägen 3, Odensala, Östersunds",63.1512340897,14.6865640056,132.0,660.0,76.0,1,1,7.0,1970,38139,4375000,0.2,18.857142857142858
"Sveagatan 8, Skutskär, Älvkarleby",60.621962254,17.4130891963,121.0,1146.0,33.0,1,0,4.0,2007,52620,2260000,0.1055846422338569,30.25
"Vaseliden 37, Landvetter, Härryda",57.7037609035,12.2133649378,176.0,1959.0,60.0,0,0,7.0,1936,50032,6500000,0.08984175599795814,25.142857142857142
"Stenvägen 19, None, Smedjebackens",60.1510353,15.4096136,136.0,674.0,50.0,0,0,6.0,1973,52007,1300000,0.20178041543026706,22.666666666666668
"Bygattu 66, Sifferbo, Gagnefs",60.5643173124,15.2156699009,73.0,2876.0,70.0,1,0,3.0,1961,36299,1250000,0.025382475660639777,24.333333333333332
"Vidhemsgatan 25, Vedum med omnejd, Vara",58.1683247753,12.990602744,123.0,1089.0,81.0,0,0,5.0,1948,41087,1925000,0.11294765840220386,24.6
"Boda Annelund 1, Boda, Eda",59.7230632597,12.1878087257,61.0,3070.0,40.0,0,0,4.0,1939,33460,650000,0.01986970684039088,15.25
"Bondemölla 4746, None, Hörby",55.91203712969251,13.607875240497266,129.0,1932.0,0.0,0,0,5.0,2019,24194,3815000,0.06677018633540373,25.8
"Pelle Kroks väg 8, Halmstad, Halmstads",56.65723379216556,12.794664362805912,108.0,807.0,90.0,1,0,4.0,1964,9195,4350000,0.13382899628252787,27.0
"Vintervägen 26, Kallkälldalen, Hagfors",60.0459713892,13.6924378938,83.0,1138.0,83.0,1,0,3.0,1968,37922,850000,0.07293497363796134,27.666666666666668
"Storängsvägen 20, Björbo, Gagnefs",60.45608012435816,14.712814764100646,125.0,1530.0,58.0,1,0,4.0,1949,28441,1050000,0.08169934640522876,31.25
"Lillåvägen 7, Kåge, Skellefteå",64.84138397107122,20.9827137051754,144.0,1070.0,47.0,1,1,6.0,1972,38803,2700000,0.13457943925233645,24.0
"Älgsjön 26, Älgsjön, Smedjebackens",60.0570948469,15.6998995135,68.0,2489.0,4.0,0,0,3.0,1983,21342,1600000,0.027320208919244676,22.666666666666668
"Ringvägen 13B, Laggarhult, Katrineholms",58.98897789954308,16.239491465785708,98.0,398.0,45.0,0,0,5.0,1972,56578,2500000,0.24623115577889448,19.6
"Lerdalavägen 5, Dälderna, Skövde",58.41121026544168,13.83181979542142,260.0,1065.0,10.0,0,0,7.0,1993,44632,5600000,0.24413145539906103,37.142857142857146
"Ärnevi 91, Gunsta, Uppsala",59.85198021498013,17.824992165157138,116.0,1280.0,70.0,1,0,5.0,1937,31808,3510000,0.090625,23.2
"Tallstigen 14, Moholm, Töreboda",58.60738369502606,14.031273599210891,109.0,1258.0,106.0,0,0,6.0,1969,40318,850000,0.08664546899841018,18.166666666666668
"Edanövägen 3, Öbolandet, Trosa",58.88576773967809,17.559791713111142,39.0,2492.0,0.0,0,0,3.0,1964,16679,2900000,0.01565008025682183,13.0
"Bangårdsgatan 5, Visby, Gotlands",57.63181532853473,18.292517769389235,213.0,805.0,87.0,1,1,6.0,1904,16242,10500000,0.2645962732919255,35.5
"Hemvägen 6, Odensala, Östersunds",63.15857987822352,14.685577548778486,108.0,996.0,129.0,0,0,6.0,1981,53600,3300000,0.10843373493975904,18.0
"Gröntuv 164, Gröntuv, Gagnefs",60.589898387034026,15.095845874258552,110.0,2189.0,102.0,0,0,5.0,1988,39257,2510000,0.05025125628140704,22.0
"Verktygsgatan 81, Malung, Malung-Sälens",60.687124816,13.7234192291,120.0,1039.0,100.0,0,0,4.0,1959,52008,1100000,0.11549566891241578,30.0
"Mörtvägen 14, Bålsta Hagviken, Håbo",59.5365524,17.4989071,104.0,283.0,10.0,0,0,4.0,1983,23069,3500000,0.3674911660777385,26.0
"Näs Eningen 3, Seglora, Borås",57.6782048817325,12.7473490180046,44.0,2855.0,7.0,0,0,2.0,1953,9990,1130000,0.015411558669001752,22.0
"Bodarnevägen 22, None, Hudiksvalls",61.65025045379592,17.105241313741107,107.0,1161.0,83.0,0,0,5.0,1962,26900,1500000,0.0921619293712317,21.4
"Centrumvägen 13, Åsarp, Falköpings",58.0246401726181,13.5607696365947,148.0,867.0,0.0,0,0,7.0,1934,43976,1000000,0.1707035755478662,21.142857142857142
"Stamnared 212, Stamnared, Varbergs",57.2101,12.3968048,60.0,1309.0,33.0,0,0,5.0,1910,25065,800000,0.04583651642475172,12.0
"Kryssvägen 1, Norra Kopparmora, Värmdö",59.3395042,18.577776,102.0,1994.0,35.0,0,0,4.0,1965,46366,5000000,0.05115346038114343,25.5
"Annetorpsvägen 76, Elinegård, Malmö",55.569603,12.9488878,165.0,190.0,0.0,0,0,8.0,2022,26000,6950000,0.868421052631579,20.625
"Sönnervång 1311, Södra Sandby, Lunds",55.70315,13.3448076,89.0,530.0,24.0,0,0,5.0,1920,32809,3200000,0.16792452830188678,17.8
"Karlskronavägen 43, Vassmolösa, Kalmar",56.5972328,16.16443,110.0,1115.0,110.0,0,0,6.0,1947,37500,2060000,0.09865470852017937,18.333333333333332
"Barkåkravägen 51, Barkåkra, Ängelholms",56.28326,12.8421688,242.0,1500.0,154.0,0,0,7.0,1942,67736,4000000,0.16133333333333333,34.57142857142857
"Aprilvägen 12, None, Järfälla",59.4248324963224,17.8137026291021,124.0,718.0,91.0,0,0,6.0,1968,48592,6550000,0.17270194986072424,20.666666666666668
"Sävgatan 8, Färjestaden, Mörbylånga",56.66329,16.4861221,93.0,955.0,7.0,0,0,3.0,2008,35500,3175000,0.09738219895287958,31.0
"Järnåldersvägen 6, Kristianstad - Vä, Kristianstads",56.0054321,14.089735,123.0,904.0,28.0,0,0,5.0,1970,36083,3000000,0.13606194690265486,24.6
"Solvägen 6, Matfors, Sundsvalls",62.3454,17.04708,72.0,1335.0,72.0,0,0,3.0,1957,34729,1525000,0.05393258426966292,24.0
"Södra Kungsvägen 43, None, Tidaholms",58.1727719754643,13.961559199164991,106.0,1226.0,6.0,1,0,4.0,1968,37000,1250000,0.0864600326264274,26.5
"Ryttmästarvägen 105, Nälsta, Stockholms",59.3753548,17.86823,158.0,604.0,77.0,0,0,7.0,1972,35948,7700000,0.26158940397350994,22.571428571428573
"Gjuterivägen 40, Strandskogen, Mörbylånga",56.6921539,16.5155773,155.0,7837.0,0.0,0,0,7.0,1980,38850,4000000,0.01977797626642848,22.142857142857142
"Södra Möinge 7150, Billeberga, Svalövs",55.8682632,12.98888,200.0,6400.0,20.0,0,0,6.0,1912,63890,3200000,0.03125,33.333333333333336
"Regnbågsvägen 6, None, Älmhults",56.66428,14.26281,120.0,1219.0,65.0,0,0,4.0,1957,31500,950000,0.09844134536505332,30.0
"Skogslyckevägen 54, Skogslyckan, Växjö",56.89971,14.8142786,95.0,721.0,53.0,0,0,5.0,1966,36700,2700000,0.1317614424410541,19.0
"Barnhemsgatan 4, Söder/Vallbacken, Gävle",60.6650238,17.1390686,185.0,783.0,95.0,0,0,6.0,1943,66280,4900000,0.23627075351213284,30.833333333333332
"Seglaregatan 7, Skillinge, Simrishamns",55.47109,14.278368,116.0,703.0,72.0,0,0,5.0,1981,40181,2650000,0.16500711237553342,23.2
"Knivetorpsvägen 3, Lexby, Partille",57.7425461,12.1073217,211.0,1284.0,27.0,0,0,8.0,1901,59852,6250000,0.16433021806853582,26.375
"Mistelgatan 14, Bårslöv, Helsingborgs",56.0071,12.8001146,206.0,543.0,10.0,0,0,8.0,1977,32050,3500000,0.37937384898710863,25.75
"Fibervägen 5, Läckeby, Kalmar",56.782608,16.290123,175.0,1005.0,0.0,0,0,6.0,2021,36700,4295000,0.17412935323383086,29.166666666666668
"Galtövägen 17, Hov, Växjö",56.8960457,14.80703,114.0,348.0,0.0,0,0,5.0,2001,46554,3600000,0.3275862068965517,22.8
"Lilleby skolväg 2, Torslanda - Lilleby, Göteborgs",57.73859,11.7964325,195.0,911.1,0.0,0,0,6.0,2011,45723,8470000,0.2140270003292723,32.5
"Hasselvägen 14, Lyckeby, Karlskrona",56.1945799337,15.6672682767,116.0,1007.0,116.0,1,0,6.0,1966,62080,2275000,0.11519364448857994,19.333333333333332
"Första Västralundsgatan 9, Västralund, Västerviks",57.7579699012,16.6180497578,113.0,677.0,50.0,1,1,5.0,1924,39714,2275000,0.16691285081240767,22.6
"Torstuna 19, Torstuna, Enköpings",59.7809512839,17.0845516646,70.0,2300.0,0.0,1,0,3.0,1939,8576,1710000,0.030434782608695653,23.333333333333332
"Hagafors Granbacken 1, Hok, Vaggeryds",57.471136239,14.3518132734,74.0,3050.0,35.0,0,0,3.0,1934,57200,1200000,0.024262295081967214,24.666666666666668
"Vitsordsvägen 3, Furulund, Partille",57.733963,12.1319561,146.0,534.5,26.0,0,0,6.0,1987,44387,6400000,0.2731524789522919,24.333333333333332
"Vasavägen 11, Lindholmen, Vallentuna",59.5850641252,18.1109482444,181.0,1051.0,58.0,1,1,9.0,1982,54400,5500000,0.17221693625118933,20.11111111111111
"Gläntan 3, Långshyttan, Hedemora",60.4475259259,16.0224548071,106.0,931.0,0.0,0,0,4.0,1975,43802,900000,0.11385606874328678,26.5
"Bärby korsväg 20, Säve, Göteborgs",57.7982005476,11.9202416576,85.0,1349.0,14.0,0,0,3.0,1913,47600,3240000,0.06300963676797627,28.333333333333332
"Fruktgången 14, Krikonbacken, Nyköpings",58.7755,16.977135,99.0,395.0,0.0,1,0,5.0,1974,38500,2300000,0.25063291139240507,19.8
"Ölandsgatan 1, Karlshagen, Degerfors",59.2501646892,14.4341469882,103.0,764.0,103.0,1,0,4.0,1968,35978,655000,0.13481675392670156,25.75
"Sparregatan 29, Ängö, Kalmar",56.6719475,16.3712845,102.0,726.0,56.0,0,0,5.0,1954,28400,4400000,0.14049586776859505,20.4
"Nygårdsvägen 4, Götene Tätort, Götene",58.5244597597,13.4610336079,50.0,1190.0,41.0,0,0,2.0,1943,32599,500000,0.04201680672268908,25.0
"Esbiörn Schillersgatan 12, Hulelyckan, Mölndals",57.6516762,12.0304527,162.0,895.0,0.0,0,0,5.0,1900,44632,4340000,0.18100558659217877,32.4
"Smedjegårdsängen 1, Torslanda - Björlanda, Göteborgs",57.7586555,11.8621521,92.0,3196.0,116.0,0,0,4.0,1959,41730,4050000,0.028785982478097622,23.0
"Sandtorpsvägen 9, Järna, Södertälje",59.0914536,17.5697441,154.0,1107.0,88.0,0,0,5.0,1947,34200,5200000,0.13911472448057813,30.8
"Krokslycke 260, Spekeröd, Stenungsunds",58.0106862323,11.8634155208,65.0,1011.0,0.0,1,0,3.0,1973,28457,3000000,0.06429277942631058,21.666666666666668
"Mjövikstrandsvägen 9, Nättraby, Karlskrona",56.1833845142,15.5289305323,150.0,1430.0,30.0,1,0,6.0,2018,29995,5200000,0.1048951048951049,25.0
"Furuvägen 10, None, Norrköpings",58.6578112341,16.1564754814,100.0,1090.0,58.0,0,0,4.0,1947,32856,2875000,0.09174311926605505,25.0
"Färnebo Hedbo 212, Västerfärnebo, Sala",59.9643536342,16.3603460038,47.0,1940.0,0.0,0,0,2.0,1940,12956,870000,0.02422680412371134,23.5
"Balders gata 11, Centralt, Hörby",55.8599056293,13.6521486646,169.0,911.0,0.0,0,0,6.0,1978,27428,2005000,0.18551042810098792,28.166666666666668
"Kvarngatan 16, Glimåkra, Östra Göinge",56.3077621,14.1464338,85.0,1340.0,88.0,0,0,5.0,1934,55542,450000,0.06343283582089553,17.0
"De la Gardievägen 48, Lidköping, Lidköpings",58.50575971694335,13.140212873461254,77.0,598.0,50.0,0,0,6.0,1936,32341,2300000,0.12876254180602006,12.833333333333334
"Västra Säbygatan 14, None, Kungsörs",59.4222529455,16.1443571143,111.0,1730.0,47.0,0,0,3.0,1948,35807,1800000,0.06416184971098265,37.0
"Författarvägen 2, Boken, Nybro",56.74899413295201,15.93371956866401,170.0,8251.0,40.0,0,0,5.0,1920,45620,2225000,0.020603563204460065,34.0
"Vinkelgatan 7, Centrum, Pajala",67.22317089321827,23.33851195454296,80.0,1110.0,30.0,0,0,4.0,1961,38173,330000,0.07207207207207207,20.0
"Fortvägen 5, Gribbylund, Täby",59.46385654197751,18.083620493937318,170.0,809.0,37.0,1,1,6.0,1995,29859,9900000,0.21013597033374537,28.333333333333332
"Nämndemansvägen 13, Samuelsdal, Falu",60.58821958273475,15.623315226669105,114.0,1140.0,81.0,0,0,4.0,1964,36330,3100000,0.1,28.5
"Thulegatan 18, Flen, Flens",59.06039248812928,16.58319257301906,248.0,1256.0,0.0,0,0,8.0,1904,58400,2650000,0.19745222929936307,31.0
"Herrgårdsvägen 4, Karlskrona, Karlskrona",56.18052084086584,15.617723348568523,165.0,810.0,42.0,0,0,7.0,1922,44615,4650000,0.2037037037037037,23.571428571428573
"Ringvägen 34, Saltsjöbaden - Rösunda, Nacka",59.2831985418744,18.30331879685805,209.0,2945.0,23.0,1,1,7.0,1890,69041,17000000,0.07096774193548387,29.857142857142858
"Lasarettsgatan 31, Lasarettsområdet, Motala",58.5435923611,15.0312860976,96.0,794.0,52.0,0,0,4.0,1934,34600,1800000,0.12090680100755667,24.0
"Medborgarvägen 14, Tillberga, Västerås",59.68357315332728,16.61912471286189,94.0,742.0,94.0,1,0,6.0,1964,54750,1950000,0.12668463611859837,15.666666666666666
"Råhagen 114, Hallekullen, Stenungsunds",58.02676705214903,11.935775933311742,140.0,1943.0,83.0,0,0,7.0,1969,45875,2600000,0.07205352547606794,20.0
"Skogsvägen 20, Risögrund, Kalix",65.8126975284,23.2434547366,104.0,1065.0,75.0,1,0,5.0,1977,25601,330000,0.09765258215962441,20.8
"Allhelgonavägen 27, Centralt Öster, Nyköpings",58.75096644699455,17.021531913300212,219.0,1249.0,117.0,0,0,8.0,1914,54926,8000000,0.1753402722177742,27.375
"Örjavägen 11, Strövelstorp, Ängelholms",56.16076,12.837412,178.0,862.0,112.0,0,0,6.0,1970,45565,3700000,0.20649651972157773,29.666666666666668
"Bunkeflovägen 28, Bunkeflostrand, Malmö",55.55932411072929,12.92854413240934,158.0,392.0,0.0,0,0,6.0,2008,48200,6800000,0.4030612244897959,26.333333333333332
"Alkvettervägen 6, Karlskoga, Storfors",59.43820092665967,14.393074342258382,117.0,1131.0,0.0,0,0,4.0,1975,45751,875000,0.10344827586206896,29.25
"Hansesgatan 8, Forssa, Borlänge",60.49583135791296,15.427666799940384,114.0,592.0,0.0,1,1,4.0,1991,42431,2450000,0.19256756756756757,28.5
"Skepparvägen 13, Ransta, Sala",59.809952463174646,16.636642001664914,140.0,891.0,51.0,1,0,6.0,1930,33954,2350000,0.15712682379349047,23.333333333333332
"Växbo 2802, None, Bollnäs",61.401206414,16.5109429519,116.0,25440.0,52.0,0,0,4.0,1909,28335,1700000,0.004559748427672956,29.0
"Tempusvägen 3, Ensta, Täby",59.45181,18.066061,169.0,867.0,148.0,0,0,8.0,1968,50500,8910000,0.19492502883506344,21.125
